Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
Music Matters,Episode 90,20.57,Music,22.36,Friday,Evening,70.65,0,Negative,8.856160707
Melody Mix,Episode 44,6.24,Music,51.42,Thursday,Afternoon,99.74,3,Positive,2.625052129
Mind & Body,Episode 32,67.59,Health,61.35,Thursday,Morning,84.36,3,Positive,
Money Matters,Episode 61,23.41,Business,46.74,Friday,Night,82.86,1,Neutral,23.41
Funny Folks,Episode 48,12.7,Comedy,63.87,Wednesday,Night,47.31,0,Positive,12.7
Tech Trends,Episode 33,92.51,Technology,44.88,Monday,Afternoon,92.61,1,Negative,65.31067329
Brain Boost,Episode 26,113.65,Education,85.21,Sunday,Afternoon,25.27,2,Negative,82.22938285
Innovators,Episode 40,101.23,Technology,79.46,Saturday,Afternoon,42.91,3,Positive,85.02848099
Study Sessions,Episode 75,78.64,Education,24.71,Wednesday,Night,73.97,3,Positive,61.97270922
Innovators,Episode 74,62.84,Technology,39.47,Saturday,Night,49.41,0,Negative,
Gadget Geek,Episode 39,87.52,Technology,65.14,Tuesday,Afternoon,18.67,0,Neutral,59.222622
Global News,Episode 72,100.45,News,82.01,Saturday,Night,67.24,3,Neutral,51.67720613
News Roundup,Episode 24,,News,94.55,Thursday,Afternoon,,2,Negative,47.9453937
Fashion Forward,Episode 24,36.43,Lifestyle,36.74,Monday,Afternoon,68.5,0,Neutral,31.05423024
Funny Folks,Episode 92,63.82,Comedy,34.03,Sunday,Evening,16.08,3,Positive,33.58060306
Gadget Geek,Episode 43,66.75,Technology,90.33,Sunday,Morning,11.42,0,Neutral,
Educational Nuggets,Episode 74,92.79,Education,85.26,Friday,Night,62.87,0,Positive,86.48604507
Gadget Geek,Episode 28,77.93,Technology,47.76,Sunday,Night,51.51,0,Neutral,
Innovators,Episode 25,33.34,Technology,66.02,Saturday,Morning,97.54,2,Negative,
Learning Lab,Episode 55,95.7,Education,36.66,Tuesday,Morning,32.31,2,Positive,57.82089814
Digital Digest,Episode 16,64.57,Technology,72.36,Friday,Evening,80.58,0,Neutral,40.14596737
Style Guide,Episode 22,72.84,Lifestyle,75.75,Monday,Evening,68.85,0,Neutral,
Lifestyle Lounge,Episode 5,104.47,Lifestyle,40.86,Thursday,Night,97.36,2,Neutral,88.1334684
Lifestyle Lounge,Episode 18,72.65,Lifestyle,31.39,Wednesday,Afternoon,54.9,2,Neutral,41.8014658
Digital Digest,Episode 8,104.25,Technology,29.29,Monday,Morning,89.9,1,Positive,101.8861998
Tech Trends,Episode 85,80.65,Technology,67.81,Monday,Afternoon,49.74,3,Neutral,43.26120786
Health Hour,Episode 37,6.18,Health,23.41,Saturday,Night,,2,Neutral,1.133323771
Educational Nuggets,Episode 78,97.11,Education,24.72,Saturday,Morning,27.89,0,Negative,84.00010776
Home & Living,Episode 14,,Lifestyle,32.57,Tuesday,Night,60.71,1,Positive,
Fitness First,Episode 2,34,Health,82.11,Friday,Afternoon,36.65,1,Negative,20.56282471
Crime Chronicles,Episode 95,89.5,True Crime,37.23,Saturday,Afternoon,36.51,3,Neutral,71.72339809
Laugh Line,Episode 60,6.33,Comedy,36.16,Saturday,Afternoon,33.06,0,Positive,2.438087611
Joke Junction,Episode 89,52.34,Comedy,59.74,Wednesday,Morning,95.39,1,Negative,36.76424122
Fashion Forward,Episode 80,55.18,Lifestyle,73.3,Saturday,Morning,9.76,1,Neutral,44.67762189
Comedy Corner,Episode 68,27.91,Comedy,44.56,Friday,Night,74.15,1,Neutral,14.37193553
Funny Folks,Episode 30,100.67,Comedy,75.39,Monday,Evening,66.79,2,Positive,58.68759105
Melody Mix,Episode 11,7.23,Music,31.01,Saturday,Evening,44.56,2,Negative,0
Market Masters,Episode 67,105.35,Business,83.69,Wednesday,Night,60.1,0,Negative,82.00764479
Health Hour,Episode 94,80.52,Health,81.8,Friday,Morning,93.86,1,Neutral,71.98651093
Music Matters,Episode 66,39.72,Music,77.48,Sunday,Evening,60.12,3,Positive,27.34875155
Lifestyle Lounge,Episode 9,17.24,Lifestyle,75.69,Wednesday,Night,42.09,0,Neutral,8.081129817
Educational Nuggets,Episode 91,20,Education,40.09,Friday,Afternoon,71.26,2,Negative,10.39756681
Comedy Corner,Episode 64,73.85,Comedy,31.5,Friday,Night,29.66,3,Negative,31.07009938
Style Guide,Episode 50,,Lifestyle,22.67,Monday,Afternoon,35.13,0,Neutral,40.32
Fashion Forward,Episode 56,9.11,Lifestyle,56.79,Thursday,Evening,86.04,2,Positive,4.428470379
Wellness Wave,Episode 74,96.96,Health,23.5,Tuesday,Morning,21.21,3,Neutral,79.62979094
Current Affairs,Episode 95,85.48,News,96.68,Friday,Night,92.74,1,Neutral,85.48
Fashion Forward,Episode 29,64.57,Lifestyle,76.51,Saturday,Morning,65.16,1,Negative,54.24781155
Business Briefs,Episode 34,19.04,Business,60.07,Saturday,Night,79.22,3,Neutral,15.14728769
Tune Time,Episode 29,10.48,Music,63.32,Saturday,Night,9.44,3,Positive,
Gadget Geek,Episode 90,,Technology,31.79,Monday,Afternoon,1.82,2,Neutral,55.50511365
Business Insights,Episode 1,22.41,Business,64.44,Saturday,Morning,96.6,0,Negative,12.15968632
Tech Trends,Episode 37,41.86,Technology,66.53,Thursday,Night,39.27,1,Neutral,26.09084476
Innovators,Episode 18,36.25,Technology,74.89,Monday,Afternoon,18.97,1,Neutral,36.25
News Roundup,Episode 28,33.42,News,42.54,Sunday,Afternoon,20.84,2,Negative,16.47944965
Gadget Geek,Episode 67,107.11,Technology,67.54,Wednesday,Evening,10.13,0,Positive,89.43158765
Lifestyle Lounge,Episode 40,75.37,Lifestyle,24.25,Sunday,Evening,94.35,2,Positive,57.10941076
Business Briefs,Episode 74,102.86,Business,71.3,Wednesday,Afternoon,99.77,3,Negative,87.20293355
Business Briefs,Episode 47,81.46,Business,31,Wednesday,Afternoon,86.82,2,Negative,56.8157513
Global News,Episode 58,89.37,News,49.07,Sunday,Morning,2.27,3,Positive,53.62046826
Brain Boost,Episode 5,,Education,76.72,Monday,Night,74.26,1,Neutral,86.15266392
Healthy Living,Episode 28,118.65,Health,27.76,Friday,Morning,27.34,0,Negative,79.62670449
Comedy Corner,Episode 35,56.03,Comedy,44.99,Thursday,Afternoon,5.21,0,Negative,34.37550029
Melody Mix,Episode 52,51.81,Music,21.24,Wednesday,Evening,84.26,1,Positive,19.00280011
Global News,Episode 22,,News,97.08,Thursday,Night,79.41,3,Neutral,31.34547457
Gadget Geek,Episode 79,48.9,Technology,58.68,Monday,Afternoon,11.97,1,Positive,40.11640276
Tech Trends,Episode 47,97.32,Technology,57.64,Sunday,Night,80.13,2,Positive,65.40448946
Educational Nuggets,Episode 70,30.16,Education,96,Saturday,Night,81.88,1,Negative,13.35458471
Fitness First,Episode 5,11.12,Health,38.64,Tuesday,Night,,0,Positive,3.52925049
True Crime Stories,Episode 43,66.99,True Crime,88.18,Thursday,Night,89.35,0,Neutral,60.32938135
Mind & Body,Episode 91,74.78,Health,78.02,Friday,Morning,58.2,2,Neutral,68.77747597
Business Briefs,Episode 8,65.36,Business,98.25,Friday,Night,78.1,3,Neutral,51.26785534
Digital Digest,Episode 92,17.47,Technology,40.29,Wednesday,Morning,34.2,2,Neutral,17.47
Criminal Minds,Episode 80,68.21,True Crime,92.74,Sunday,Afternoon,34.05,3,Neutral,
Money Matters,Episode 36,,Business,38.12,Thursday,Morning,55.53,2,Positive,28.20429767
Digital Digest,Episode 34,100.36,Technology,29.67,Sunday,Afternoon,47.9,2,Negative,57.50863963
Market Masters,Episode 4,,Business,25.24,Friday,Evening,59.28,1,Negative,46.61512493
Market Masters,Episode 75,54.17,Business,96.8,Sunday,Morning,95.99,1,Negative,52.12767962
Music Matters,Episode 81,21.3,Music,27.97,Thursday,Evening,22.84,2,Positive,2.607403112
Tech Talks,Episode 43,32.98,Technology,48.08,Sunday,Night,46.02,3,Positive,28.17448065
Sound Waves,Episode 78,38.36,Music,38.96,Thursday,Afternoon,60.11,1,Negative,23.74886589
Sports Central,Episode 88,59.49,Sports,76.22,Wednesday,Evening,26.57,2,Negative,33.78940138
Innovators,Episode 95,114.31,Technology,96.58,Monday,Afternoon,,0,Negative,87.11979578
Funny Folks,Episode 28,16.97,Comedy,75.12,Tuesday,Morning,,2,Neutral,8.179406606
Brain Boost,Episode 83,111.55,Education,38.55,Monday,Night,21.07,1,Neutral,63.39737929
Mind & Body,Episode 62,118.63,Health,27.55,Wednesday,Night,12.47,2,Negative,66.22698129
Market Masters,Episode 66,17.51,Business,65.98,Saturday,Afternoon,25.97,2,Neutral,
Finance Focus,Episode 50,5.11,Business,97.24,Wednesday,Evening,40.6,2,Neutral,0
Tech Trends,Episode 57,75.9,Technology,53.52,Thursday,Night,76.39,0,Negative,75.9
World Watch,Episode 56,42.17,News,56.96,Saturday,Night,40.49,0,Neutral,41.87454279
Comedy Corner,Episode 25,44.12,Comedy,22.69,Sunday,Morning,19.6,2,Positive,40.49109012
Wellness Wave,Episode 61,108.12,Health,76.99,Wednesday,Evening,6.23,2,Negative,57.57654655
Digital Digest,Episode 70,63.54,Technology,88.59,Wednesday,Night,10.33,2,Negative,47.06517381
Mystery Matters,Episode 7,13.75,True Crime,84.57,Saturday,Night,53.84,0,Negative,13.75
Money Matters,Episode 52,74.45,Business,36.89,Friday,Night,40.62,2,Positive,49.97845504
Innovators,Episode 100,20.62,Technology,78.96,Wednesday,Night,20.06,0,Positive,10.46587419
Learning Lab,Episode 75,103.25,Education,56.59,Tuesday,Evening,79.41,3,Negative,77.79484079
Home & Living,Episode 84,63.95,Lifestyle,58.75,Sunday,Evening,37.04,3,Negative,36.56460206
Life Lessons,Episode 70,58.9,Lifestyle,63.76,Friday,Morning,82.72,2,Positive,23.72688813
Digital Digest,Episode 18,46.02,Technology,42.18,Saturday,Evening,59.25,1,Neutral,17.55572134
Innovators,Episode 26,96.4,Technology,81.21,Monday,Morning,49.17,3,Neutral,70.42670511
Athlete's Arena,Episode 43,96.88,Sports,51.76,Thursday,Morning,89.83,0,Negative,91.1857946
Game Day,Episode 70,71.35,Sports,57.97,Saturday,Morning,,1,Positive,28.62587228
Business Briefs,Episode 3,75,Business,29.31,Wednesday,Afternoon,41.32,3,Positive,53.72774231
Lifestyle Lounge,Episode 51,,Lifestyle,93.03,Wednesday,Evening,,0,Negative,
Life Lessons,Episode 52,54.41,Lifestyle,55.68,Friday,Night,15.98,1,Positive,40.79369419
Joke Junction,Episode 37,20.86,Comedy,89.1,Friday,Night,99.77,3,Neutral,4.208881511
Comedy Corner,Episode 45,87.61,Comedy,49.51,Saturday,Evening,68.91,0,Neutral,87.61
Market Masters,Episode 10,32.05,Business,44.36,Monday,Morning,,0,Neutral,23.60525014
Lifestyle Lounge,Episode 25,45.06,Lifestyle,57.72,Saturday,Night,87.57,1,Negative,40.88411784
News Roundup,Episode 69,68.74,News,98.09,Sunday,Morning,53.32,1,Positive,43.99376339
Life Lessons,Episode 44,29.39,Lifestyle,96.3,Friday,Afternoon,59.64,0,Negative,27.22947021
Mystery Matters,Episode 20,13.71,True Crime,55.37,Friday,Morning,85.37,1,Negative,13.71
Sound Waves,Episode 13,18.42,Music,47.25,Thursday,Morning,15.48,2,Neutral,9.557051202
Daily Digest,Episode 28,,News,30.53,Thursday,Night,27.48,0,Neutral,
Healthy Living,Episode 13,77.3,Health,89.59,Monday,Morning,,2,Positive,70.1385396
Funny Folks,Episode 9,7.77,Comedy,51.89,Friday,Morning,14.22,3,Neutral,0
Gadget Geek,Episode 60,61.57,Technology,21.05,Wednesday,Evening,88.84,3,Neutral,36.87662243
Brain Boost,Episode 21,55.9,Education,66.32,Saturday,Night,3.84,3,Positive,31.94410828
Learning Lab,Episode 42,28.77,Education,41.67,Saturday,Morning,79.68,2,Neutral,15.35006254
Melody Mix,Episode 15,63.19,Music,25.88,Friday,Night,79.35,0,Neutral,46.28084127
Funny Folks,Episode 72,59.37,Comedy,21.54,Monday,Evening,15.53,1,Neutral,56.14808942
Market Masters,Episode 75,84.71,Business,33.55,Friday,Afternoon,63.4,2,Positive,40.12768387
Funny Folks,Episode 64,90.98,Comedy,84.16,Monday,Morning,49.07,2,Neutral,63.85978759
Fashion Forward,Episode 99,32.06,Lifestyle,24.9,Monday,Night,96.03,3,Neutral,16.37282682
Comedy Corner,Episode 13,80.7,Comedy,85.83,Sunday,Night,68.91,2,Neutral,53.76165876
Finance Focus,Episode 56,,Business,65.78,Friday,Evening,73.43,1,Neutral,67.60300063
Health Hour,Episode 83,112.43,Health,48.3,Friday,Evening,63.09,3,Neutral,84.71816253
Athlete's Arena,Episode 100,59.07,Sports,89.96,Monday,Afternoon,,3,Positive,27.86296189
Current Affairs,Episode 22,,News,51.88,Thursday,Evening,6.14,1,Negative,37.39195446
Educational Nuggets,Episode 31,92.5,Education,74.87,Tuesday,Afternoon,19.19,3,Positive,65.51092801
Tune Time,Episode 33,55.97,Music,30.07,Friday,Night,,3,Negative,39.94868739
Digital Digest,Episode 37,,Technology,60.03,Saturday,Evening,9.78,2,Neutral,12.02
Tune Time,Episode 11,53.43,Music,55.93,Saturday,Afternoon,49.59,2,Neutral,
Laugh Line,Episode 52,26.91,Comedy,98.18,Friday,Morning,55,3,Negative,14.37838522
Style Guide,Episode 51,11.95,Lifestyle,24.53,Friday,Night,19.34,0,Neutral,1.295082762
Mystery Matters,Episode 26,59.21,True Crime,59.03,Thursday,Morning,1.55,1,Negative,49.66017269
Study Sessions,Episode 13,71.05,Education,74.32,Thursday,Morning,15.44,2,Positive,34.03213718
Digital Digest,Episode 1,54.7,Technology,40.78,Wednesday,Morning,56.27,0,Positive,26.63749523
Study Sessions,Episode 19,62.84,Education,63.91,Sunday,Afternoon,,3,Positive,52.32010567
Global News,Episode 72,114.7,News,54.75,Saturday,Afternoon,77.66,3,Positive,74.25753896
Style Guide,Episode 96,31.71,Lifestyle,55.73,Tuesday,Night,94.14,0,Positive,25.69091828
Current Affairs,Episode 20,,News,45.62,Sunday,Evening,58.9,2,Negative,
Sound Waves,Episode 55,109.36,Music,86.16,Sunday,Afternoon,,1,Negative,100.8142552
Business Briefs,Episode 99,36.61,Business,80.45,Monday,Morning,61.98,3,Negative,23.84750759
Style Guide,Episode 74,29.61,Lifestyle,93.49,Monday,Morning,72.07,3,Negative,20.30582445
Lifestyle Lounge,Episode 100,,Lifestyle,84.16,Sunday,Morning,93.07,3,Neutral,56.14249909
Melody Mix,Episode 31,7.88,Music,25.97,Friday,Night,50.91,1,Neutral,
Joke Junction,Episode 45,19.25,Comedy,33.26,Saturday,Night,38.07,1,Positive,18.65799828
Money Matters,Episode 75,71.11,Business,54.13,Wednesday,Evening,44.41,3,Neutral,55.20137753
Game Day,Episode 28,85.35,Sports,77.52,Sunday,Evening,,1,Positive,85.35
Lifestyle Lounge,Episode 40,57.29,Lifestyle,22.24,Monday,Night,32.56,3,Positive,35.88651809
Life Lessons,Episode 68,24.4,Lifestyle,88.24,Friday,Evening,31.67,1,Neutral,17.03097777
Humor Hub,Episode 95,23.58,Comedy,84.25,Thursday,Night,47.11,0,Positive,13.4912721
World Watch,Episode 17,,News,82.88,Sunday,Night,65.63,3,Negative,39.11933114
Crime Chronicles,Episode 34,17.4,True Crime,59.33,Monday,Morning,35.2,0,Negative,9.345433948
Wellness Wave,Episode 15,34.97,Health,97.14,Friday,Night,11.42,1,Neutral,20.62915864
Educational Nuggets,Episode 35,87.72,Education,66.64,Saturday,Night,6.33,1,Neutral,68.28382856
Criminal Minds,Episode 2,63.43,True Crime,34.88,Sunday,Evening,71.46,1,Positive,
Gadget Geek,Episode 64,,Technology,91.55,Sunday,Morning,88.92,3,Negative,
Mystery Matters,Episode 75,27.87,True Crime,95.17,Thursday,Evening,16.89,0,Neutral,
Market Masters,Episode 78,,Business,85.01,Thursday,Evening,75.81,3,Neutral,84.08764751
Tune Time,Episode 57,100.11,Music,37.16,Monday,Morning,35.82,1,Positive,66.3732898
Detective Diaries,Episode 22,108.8,True Crime,43,Thursday,Night,98.54,3,Negative,
Sound Waves,Episode 3,58.76,Music,80.05,Wednesday,Night,91.63,1,Neutral,55.21208249
Wellness Wave,Episode 100,67.59,Health,47.03,Wednesday,Night,53.72,3,Neutral,41.01628108
Healthy Living,Episode 70,29.77,Health,31.5,Monday,Morning,76.1,1,Negative,20.25331328
Crime Chronicles,Episode 17,13.45,True Crime,50.27,Wednesday,Morning,17.55,2,Neutral,11.22338769
News Roundup,Episode 27,117.83,News,40.74,Friday,Night,21.57,1,Negative,109.5344759
Mystery Matters,Episode 12,101.17,True Crime,38.85,Monday,Night,3.67,2,Negative,61.18465272
Digital Digest,Episode 92,57.64,Technology,59.45,Wednesday,Night,28.47,0,Negative,57.64
Educational Nuggets,Episode 88,23.37,Education,75.9,Monday,Morning,45.82,1,Negative,21.4410124
Detective Diaries,Episode 12,42.04,True Crime,48.22,Friday,Afternoon,23.51,1,Positive,30.88201372
Money Matters,Episode 31,19.28,Business,85.92,Tuesday,Night,50.43,1,Neutral,14.62874383
True Crime Stories,Episode 30,73.83,True Crime,88.99,Sunday,Morning,,2,Neutral,51.26227675
Comedy Corner,Episode 1,90.71,Comedy,90.58,Friday,Evening,58.46,2,Neutral,77.1006575
Healthy Living,Episode 70,21.85,Health,98.24,Saturday,Afternoon,,1,Positive,21.85
Sport Spot,Episode 22,70.85,Sports,91.93,Tuesday,Morning,12.79,1,Neutral,65.22272035
Tune Time,Episode 54,,Music,66.02,Tuesday,Evening,39.44,2,Positive,5.56
Sports Central,Episode 23,11.96,Sports,88.18,Sunday,Afternoon,14.45,1,Neutral,11.5405193
Tech Trends,Episode 99,88.69,Technology,41.52,Tuesday,Morning,94.12,1,Neutral,60.32566415
Fashion Forward,Episode 86,64.87,Lifestyle,42.05,Monday,Morning,73.86,3,Positive,34.20964345
Daily Digest,Episode 54,42.14,News,38.73,Friday,Evening,40.87,0,Positive,42.14
True Crime Stories,Episode 72,,True Crime,25.65,Friday,Night,,2,Neutral,53.76387992
Fashion Forward,Episode 86,100.91,Lifestyle,40.41,Saturday,Afternoon,31.28,3,Negative,57.49240702
Current Affairs,Episode 84,22.69,News,94.63,Friday,Morning,57.3,1,Negative,22.69
Mind & Body,Episode 61,116.26,Health,40.64,Wednesday,Night,6.29,2,Positive,93.12527575
Home & Living,Episode 29,,Lifestyle,89.7,Monday,Night,67.02,1,Neutral,2.544620644
Health Hour,Episode 87,53.5,Health,29.55,Monday,Morning,43.07,3,Neutral,49.99646055
Humor Hub,Episode 47,83.96,Comedy,46.48,Monday,Afternoon,70.68,1,Positive,65.12851594
Business Briefs,Episode 34,35.55,Business,92.45,Saturday,Night,43.78,0,Positive,30.39837503
Tech Trends,Episode 27,87.79,Technology,95.7,Wednesday,Night,44.75,0,Negative,61.34425483
Educational Nuggets,Episode 100,110.78,Education,37.29,Wednesday,Evening,82.04,1,Negative,
Joke Junction,Episode 43,28.85,Comedy,20.77,Sunday,Evening,14.89,3,Positive,24.39529395
Innovators,Episode 74,,Technology,88.01,Thursday,Evening,12.54,1,Positive,44.15
Innovators,Episode 40,102.13,Technology,55.59,Tuesday,Night,74.36,3,Positive,74.80095586
Business Insights,Episode 80,80.65,Business,66.16,Friday,Afternoon,82.5,1,Positive,68.06318172
Tech Trends,Episode 66,7.76,Technology,57.18,Saturday,Night,88.47,0,Neutral,2.99034222
Daily Digest,Episode 3,11.84,News,44.1,Monday,Afternoon,50.63,0,Negative,
Wellness Wave,Episode 8,65.17,Health,54.11,Wednesday,Evening,,3,Positive,26.72346123
Crime Chronicles,Episode 12,8.38,True Crime,78.9,Tuesday,Night,73.45,3,Neutral,7.754969576
Game Day,Episode 21,17.51,Sports,47.65,Monday,Afternoon,20.54,2,Neutral,9.75854265
Educational Nuggets,Episode 46,63.5,Education,45.52,Sunday,Morning,35.32,3,Positive,55.01264591
Fashion Forward,Episode 20,,Lifestyle,93.35,Tuesday,Evening,94.5,0,Neutral,102.28
Tune Time,Episode 54,10.15,Music,85.49,Saturday,Night,27.7,0,Positive,1.803085225
Humor Hub,Episode 52,37.94,Comedy,72.14,Thursday,Night,54.43,1,Negative,36.04851893
Business Insights,Episode 24,77.19,Business,58.97,Monday,Evening,32.04,0,Neutral,38.73409734
Music Matters,Episode 26,98.15,Music,86.32,Wednesday,Morning,0.54,2,Neutral,98.15
Current Affairs,Episode 92,,News,57.61,Tuesday,Afternoon,16.43,1,Neutral,
Sports Weekly,Episode 18,62.26,Sports,89.39,Wednesday,Evening,16.21,0,Neutral,58.28366718
Humor Hub,Episode 66,39.68,Comedy,44.1,Sunday,Morning,53.8,0,Positive,30.02600259
Market Masters,Episode 64,6.87,Business,38.46,Friday,Morning,91.32,3,Negative,0
Learning Lab,Episode 36,31.56,Education,27.44,Saturday,Night,12.41,0,Negative,28.04817521
Business Insights,Episode 9,112.58,Business,41.82,Sunday,Evening,15.19,2,Negative,102.2810313
Game Day,Episode 38,27.26,Sports,32.36,Tuesday,Morning,52.87,2,Positive,13.02790981
Tune Time,Episode 71,89.43,Music,82.6,Wednesday,Night,79,1,Neutral,85.08653232
Athlete's Arena,Episode 11,93.6,Sports,89.06,Monday,Morning,33.04,3,Negative,81.29201495
Funny Folks,Episode 23,28.49,Comedy,87.26,Monday,Night,,1,Positive,28.49
Global News,Episode 34,82.68,News,24.47,Monday,Night,,0,Positive,
Sports Weekly,Episode 16,48.17,Sports,53.21,Sunday,Afternoon,16.68,0,Negative,40.86547256
Style Guide,Episode 99,75.62,Lifestyle,46.69,Wednesday,Afternoon,30.02,0,Positive,61.54975356
Market Masters,Episode 56,104.27,Business,23.33,Sunday,Morning,34.44,0,Neutral,
Tech Talks,Episode 12,110.24,Technology,63.47,Sunday,Afternoon,58.9,0,Positive,110.24
Learning Lab,Episode 93,68.2,Education,89.48,Wednesday,Morning,45.29,1,Neutral,52.62416291
Comedy Corner,Episode 53,,Comedy,55.79,Thursday,Evening,92.52,1,Neutral,29.58053932
Daily Digest,Episode 6,102.86,News,89.2,Monday,Afternoon,71.75,1,Neutral,82.07348342
Sport Spot,Episode 60,65.06,Sports,99.14,Saturday,Night,54.76,3,Negative,56.86597161
Laugh Line,Episode 20,,Comedy,44.03,Friday,Evening,67.86,0,Neutral,64.00815489
Money Matters,Episode 81,39.72,Business,73.34,Sunday,Morning,63.64,3,Neutral,30.20559564
Home & Living,Episode 35,63.01,Lifestyle,96.74,Friday,Night,69.13,3,Neutral,53.28618908
Market Masters,Episode 3,106.39,Business,73.5,Sunday,Morning,50.23,1,Neutral,67.07169712
Home & Living,Episode 85,108.97,Lifestyle,74.19,Monday,Night,80.22,1,Negative,61.88814606
Gadget Geek,Episode 10,21.23,Technology,50.32,Thursday,Morning,52.55,2,Negative,12.33400648
Sports Central,Episode 39,91.89,Sports,70.7,Tuesday,Afternoon,54.23,1,Negative,54.74457539
Current Affairs,Episode 59,38.27,News,48.49,Tuesday,Afternoon,92.6,0,Negative,16.08710525
Comedy Corner,Episode 24,,Comedy,50.43,Tuesday,Morning,29.32,0,Positive,19.92453635
Daily Digest,Episode 77,12.69,News,97.64,Saturday,Evening,58.88,1,Neutral,1.486197657
Mystery Matters,Episode 83,5.36,True Crime,49.33,Friday,Night,17.02,0,Positive,0.681879983
Current Affairs,Episode 80,119.55,News,29.5,Thursday,Evening,,2,Positive,72.33913976
Market Masters,Episode 75,20.86,Business,93.71,Saturday,Afternoon,,1,Positive,7.222448325
Brain Boost,Episode 40,75.37,Education,71.65,Sunday,Afternoon,40.8,1,Neutral,66.75212739
Brain Boost,Episode 25,31.34,Education,52.36,Tuesday,Afternoon,,3,Positive,25.88871776
Joke Junction,Episode 58,20.68,Comedy,93.66,Friday,Afternoon,26.2,2,Neutral,9.736707188
Current Affairs,Episode 88,10.43,News,30.4,Sunday,Night,18.52,3,Positive,6.630114004
Joke Junction,Episode 41,107.81,Comedy,38,Thursday,Afternoon,91.21,2,Positive,
Game Day,Episode 93,114.04,Sports,90.17,Friday,Morning,4.97,0,Neutral,
Funny Folks,Episode 45,34.17,Comedy,48.94,Tuesday,Night,26.94,1,Neutral,34.17
Innovators,Episode 9,71.26,Technology,45.12,Wednesday,Morning,66.93,0,Negative,44.56185924
Melody Mix,Episode 80,62.92,Music,58.45,Monday,Morning,92.73,1,Positive,43.26134538
Funny Folks,Episode 85,,Comedy,34.61,Friday,Night,20.21,2,Positive,9.877372863
Life Lessons,Episode 42,88.18,Lifestyle,73.05,Wednesday,Evening,75.18,0,Negative,64.68275481
Joke Junction,Episode 69,17.33,Comedy,80.75,Wednesday,Morning,69.75,2,Negative,11.0891081
Learning Lab,Episode 5,28.43,Education,40.02,Sunday,Afternoon,33.81,3,Neutral,15.50945091
Sport Spot,Episode 7,118.11,Sports,62,Tuesday,Morning,83.26,3,Positive,50.72345364
Lifestyle Lounge,Episode 100,26.17,Lifestyle,53.55,Saturday,Afternoon,,2,Positive,12.94259642
Joke Junction,Episode 59,98.32,Comedy,30.49,Monday,Afternoon,6.15,0,Positive,55.12550817
Game Day,Episode 63,65.48,Sports,37.12,Thursday,Evening,7.24,3,Negative,63.81712882
Global News,Episode 100,52.66,News,44.82,Sunday,Morning,,2,Positive,29.14469727
Finance Focus,Episode 22,51.6,Business,26.37,Friday,Night,42.9,0,Negative,28.68820722
Game Day,Episode 26,,Sports,72.75,Saturday,Afternoon,71.59,0,Neutral,
Mystery Matters,Episode 31,,True Crime,94.47,Wednesday,Night,11.66,3,Neutral,39.05477504
Detective Diaries,Episode 48,,True Crime,27.24,Monday,Evening,23.16,2,Neutral,
Crime Chronicles,Episode 71,105.89,True Crime,22.45,Sunday,Morning,91.57,2,Negative,41.53262245
World Watch,Episode 35,54.49,News,39.15,Friday,Night,4.37,2,Positive,17.72817501
Criminal Minds,Episode 10,87.4,True Crime,77.75,Friday,Morning,77.58,1,Negative,74.47574629
Market Masters,Episode 72,115.45,Business,71.25,Saturday,Night,76.42,2,Negative,59.35054714
Crime Chronicles,Episode 96,26.54,True Crime,27.53,Saturday,Night,19.08,1,Positive,13.89286929
Tech Talks,Episode 31,86.15,Technology,53.09,Saturday,Afternoon,79.74,3,Negative,62.51255073
Life Lessons,Episode 68,98.46,Lifestyle,91.84,Thursday,Afternoon,58.89,0,Neutral,59.81979161
Business Insights,Episode 58,108.74,Business,94.86,Friday,Evening,,2,Positive,64.63768045
Global News,Episode 8,15.75,News,81.03,Sunday,Afternoon,87.69,2,Neutral,14.87947623
Business Insights,Episode 66,115.43,Business,70.12,Wednesday,Night,29.41,2,Negative,
Criminal Minds,Episode 44,18.3,True Crime,70.01,Monday,Evening,4.65,3,Positive,18.3
World Watch,Episode 55,87.28,News,79.95,Tuesday,Evening,52.81,1,Positive,69.87320524
Music Matters,Episode 21,61.37,Music,60.65,Thursday,Night,59.11,1,Neutral,29.09042776
Tune Time,Episode 28,92.55,Music,25.5,Friday,Afternoon,15.18,2,Positive,37.92708904
Tune Time,Episode 93,45.4,Music,42.43,Thursday,Evening,38.26,1,Positive,28.35296301
Home & Living,Episode 94,17.82,Lifestyle,98.35,Friday,Afternoon,,0,Negative,17.82
Life Lessons,Episode 55,82.16,Lifestyle,76.54,Friday,Morning,96.66,3,Neutral,
Tech Talks,Episode 5,54.05,Technology,87.99,Sunday,Morning,56.96,2,Neutral,36.12460712
Healthy Living,Episode 27,41.74,Health,43.82,Wednesday,Morning,45.48,2,Negative,27.73853023
Comedy Corner,Episode 66,12.81,Comedy,89.28,Tuesday,Afternoon,11.53,1,Negative,12.81
Criminal Minds,Episode 58,107.48,True Crime,60.81,Tuesday,Night,63.12,1,Neutral,107.48
